	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	1,691e+004	5,300e+004	144,0	243,0	98,96	106,4	236,4	139,2	8,129	77,00	131,0	130,7	10,18	368,1	61,31	0,9077	5,121e+004	1,110e+004	-9593	4423	-3064	9,736	107,3	234,9	100,5	2,172e+004	4814	0,7784	13,72
3	1,703e+004	5,681e+004	153,4	245,2	91,86	97,66	243,0	136,1	8,403	73,75	127,7	130,0	10,96	370,4	67,17	0,8478	4,694e+004	1,065e+004	-9743	4654	-2914	9,928	103,1	228,3	92,00	2,077e+004	3740	0,8199	14,06
4	1,528e+004	5,192e+004	139,3	225,7	86,43	88,52	217,5	131,6	7,856	68,20	123,8	128,2	11,38	372,7	67,60	0,9202	2,778e+004	1,004e+004	-1,167e+004	3035	-3318	9,155	106,5	206,1	86,63	1,818e+004	2901	0,8405	13,84
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
