	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	2,111e+004	6,079e+004	228,0	357,5	129,5	133,6	338,5	109,6	-0,3557	54,57	109,9	104,0	2,996	266,7	64,81	0,4560	1,808e+005	4269	-4173	6565	-5273	0,2531	68,48	351,7	129,5	3,428e+004	1,317e+004	0,6158	20,24
6	1,854e+004	5,505e+004	208,3	338,1	129,9	133,1	322,3	107,7	-1,054	51,99	108,7	103,9	2,052	264,3	61,73	0,4990	2,304e+005	4235	-4330	5791	-3879	-0,2121	72,60	337,4	130,1	3,187e+004	1,333e+004	0,5818	19,77
7	1,643e+004	4,996e+004	188,2	316,6	128,4	134,8	307,9	105,1	-1,539	49,75	106,6	102,2	1,389	265,5	60,42	0,5430	1,973e+005	4118	-4330	5854	-4532	-0,6431	66,25	311,5	128,9	2,930e+004	1,287e+004	0,5608	19,46
8	1,421e+004	4,515e+004	170,1	298,2	128,2	132,3	287,7	102,4	-2,011	47,38	104,4	99,13	0,6636	265,5	57,07	0,5829	1,952e+005	3995	-4269	4377	-4393	-0,8209	68,95	298,0	128,2	2,695e+004	1,274e+004	0,5272	19,12
9	1,193e+004	3,909e+004	147,9	271,0	123,1	127,0	262,1	99,52	-2,367	44,75	101,9	96,55	-0,04789	264,3	54,83	0,6529	1,801e+005	3858	-4200	3738	-3483	-1,307	69,78	269,7	123,1	2,410e+004	1,217e+004	0,4950	18,84
10	1,098e+004	3,767e+004	141,3	252,2	110,9	114,2	242,2	96,53	-2,695	42,84	99,23	92,62	-0,5952	266,7	56,78	0,6556	1,668e+005	3722	-4057	3392	-3085	44,64	62,78	248,8	110,9	2,216e+004	1,119e+004	0,4953	18,62
11	9879	3,375e+004	128,3	233,3	105,0	108,1	214,8	93,51	-3,133	40,07	96,64	90,82	-1,341	263,2	55,81	0,7081	1,348e+005	3585	-4009	2746	-2202	46,66	60,76	229,8	105,2	2,050e+004	1,062e+004	0,4819	18,42
12	8441	3,052e+004	115,5	216,6	101,2	104,9	201,2	90,45	-3,325	38,20	93,78	87,83	-1,656	264,3	53,81	0,7607	1,108e+005	3455	-3968	2444	-2603	40,76	60,91	214,6	101,2	1,864e+004	1,019e+004	0,4529	18,13
13	8164	2,966e+004	112,2	200,9	88,67	91,06	178,5	87,55	-3,455	36,35	91,00	84,33	-2,004	264,3	57,29	0,7515	8,879e+004	3304	-3899	1893	-2377	44,59	60,91	195,9	88,88	1,726e+004	9095	0,4730	17,79
