	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	1,492e+004	4,816e+004	240,0	452,8	212,8	224,1	369,3	90,54	1,300	39,19	89,24	86,68	4,980	200,7	60,83	0,3611	4,107e+005	4508	-3181	6043	-4163	67,90	49,22	394,5	213,9	2,439e+004	9464	0,6119	20,76
3	1,312e+004	5,000e+004	224,2	419,9	195,8	200,8	344,6	84,36	1,067	38,48	83,30	79,94	3,790	223,0	61,60	0,3566	4,167e+005	4221	-3154	6191	-4146	67,30	45,77	363,9	198,1	2,099e+004	7872	0,6249	20,17
4	1,322e+004	4,661e+004	215,2	387,7	172,5	177,6	328,2	78,73	0,4789	33,10	78,25	76,22	2,620	216,6	61,02	0,3542	2,793e+005	4091	-2880	4221	-4598	66,16	45,28	352,7	172,5	1,885e+004	5633	0,7012	20,32
5	1,244e+004	4,039e+004	203,3	354,4	151,1	160,1	312,0	72,39	0,006841	27,53	72,39	70,31	2,134	198,7	60,70	0,3459	1,698e+005	3708	-2613	2795	-3758	2,175	42,39	334,9	156,0	1,661e+004	4169	0,7489	20,54
6	1,174e+004	3,455e+004	195,8	328,4	132,6	140,1	298,3	67,30	-0,2121	22,82	67,51	64,20	1,929	176,5	61,60	0,3279	8,936e+004	3379	-2285	3055	-4236	1,957	38,36	317,8	136,8	1,456e+004	2818	0,8065	21,10
7	1,064e+004	3,769e+004	187,2	308,8	121,6	131,7	287,2	62,68	-0,4378	24,13	63,12	59,96	1,731	201,3	62,32	0,3203	6,264e+004	2969	-1977	2486	-3795	1,156	34,31	300,3	125,7	1,274e+004	2102	0,8350	20,85
8	8720	3,322e+004	162,8	280,5	117,7	125,4	264,1	59,33	-0,7046	21,52	60,03	54,51	1,019	204,1	59,61	0,3348	5,321e+004	2716	-1861	2348	-4006	0,02736	33,84	273,1	121,0	1,061e+004	1892	0,8217	19,81
9	7411	2,924e+004	142,3	258,5	116,2	118,6	245,1	56,95	-0,7799	20,62	57,73	51,88	0,9030	205,5	55,32	0,3646	1,420e+004	2586	-1806	1909	-3826	-0,4378	29,70	257,2	118,3	9267	1856	0,7997	19,75
10	6492	2,740e+004	132,9	246,9	114,0	117,3	238,2	54,52	-0,8757	19,47	55,39	48,80	0,6909	206,2	54,23	0,3673	2,964e+004	2394	-1744	1794	-3394	-0,4378	28,42	245,0	117,7	8336	1844	0,7788	19,42
11	5693	2,530e+004	123,6	235,7	112,2	116,7	228,7	52,75	-0,9509	18,57	53,70	47,72	0,5541	204,8	53,26	0,3862	2,959e+004	2285	-1628	1211	-2910	-0,7525	26,97	232,0	115,6	7515	1823	0,7575	19,14
12	4982	2,275e+004	111,5	222,1	110,7	113,3	212,3	50,98	-1,019	17,79	52,00	45,83	0,3694	204,1	50,36	0,4111	1,941e+004	2162	-1662	959,7	-2776	0,07525	25,45	221,3	112,9	6703	1721	0,7432	18,91
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	3268	1,906e+004	95,30	199,7	104,4	104,9	185,9	45,90	-1,101	15,63	47,00	40,70	0,2600	200,0	48,10	0,4271	2,107e+004	1833	-1355	800,2	-1884	6,807	21,99	198,1	113,9	4945	1678	0,6608	19,46
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

