	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	2,745e+004	8,545e+004	297,7	362,1	64,48	66,57	362,0	116,1	1,019	57,55	115,1	110,4	2,203	287,1	91,53	0,3708	1,203e+005	9947	-6287	7914	-4209	1,314	76,70	325,2	65,51	13,11
3	2,524e+004	1,919e+005	662,2	727,8	65,67	67,13	338,7	113,1	2,039	56,22	111,1	107,3	2,695	289,9	216,6	0,1621	5,890e+004	9161	-6513	1,969e+004	-5014	2,217	78,53	305,7	66,99	13,38
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	2,480e+004	7,649e+004	263,9	331,9	68,03	69,71	331,1	112,8	0,4036	55,26	112,4	108,6	1,970	289,9	85,70	0,4114	1,609e+005	9256	-6479	6855	-4387	1,047	70,66	307,9	68,85	12,65
6	2,549e+004	1,752e+005	607,5	663,9	56,44	57,42	323,7	114,7	2,237	56,95	112,4	108,2	2,333	288,5	200,5	0,1781	1,470e+005	9749	-6356	1,796e+004	-5212	2,805	80,71	303,0	57,96	13,39
7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	2,646e+004	8,308e+004	288,0	344,5	56,47	57,91	341,2	114,2	0,5610	55,55	113,6	109,3	2,278	288,5	93,59	0,3796	4,684e+004	9797	-6465	7151	-4183	0,9783	74,21	307,7	57,57	12,76
9	2,440e+004	1,438e+005	498,6	562,5	63,87	65,11	322,7	113,0	1,662	55,77	111,3	107,0	1,963	288,5	165,7	0,2147	2,082e+005	9284	-6376	1,527e+004	-4839	2,326	73,42	300,9	64,89	13,08
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	2,413e+004	7,879e+004	273,1	335,1	62,02	63,12	331,3	112,2	0,4584	54,14	111,8	108,1	2,333	288,5	94,35	0,3959	4,607e+004	9455	-6397	7785	-3922	0,7936	75,47	289,5	63,36	12,73
12	2,645e+004	1,000e+005	348,5	408,5	60,01	61,50	334,1	114,6	1,416	56,41	113,1	107,8	1,827	287,1	109,5	0,3094	2,176e+005	9783	-6404	9448	-4781	1,970	77,31	318,2	60,45	13,04
13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	3,070e+004	1,075e+005	372,5	428,0	55,42	56,28	426,6	115,1	0,5952	55,91	114,5	110,0	2,230	288,5	111,9	0,2954	4,678e+004	1,010e+004	-6684	7337	-7504	0,9099	76,97	332,8	56,85	12,75
15	2,431e+004	8,354e+004	291,0	355,4	64,38	66,05	316,4	113,4	1,149	55,58	112,3	108,2	1,813	287,1	97,60	0,3719	4,313e+004	9202	-6568	8362	-4343	1,519	69,95	298,2	65,17	12,87
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	2,588e+004	7,816e+004	272,3	331,2	58,99	60,16	329,8	115,4	0,9852	56,38	114,4	109,4	1,957	287,1	88,33	0,4019	2,110e+005	9776	-6513	7244	-4639	1,266	74,48	308,2	59,92	12,76
19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	2,473e+004	7,751e+004	268,7	334,5	65,79	67,45	333,8	113,4	0,2805	55,10	113,1	109,3	1,936	288,5	88,28	0,4067	2,411e+005	9373	-6376	7505	-4903	0,6773	76,25	304,4	66,85	12,67
22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	2,584e+004	1,068e+005	370,3	432,1	61,80	63,20	340,9	114,0	1,067	55,90	112,9	108,6	2,128	288,2	120,3	0,3248	1,290e+005	9574	-6451	1,021e+004	-4828	1,485	75,39	308,5	62,86	12,93
Min	2,413e+004	7,649e+004	263,9	331,2	55,42	56,28	316,4	112,2	0,2805	54,14	111,1	107,0	1,813	287,1	85,70	0,1621	4,313e+004	9161	-6684	6855	-7504	0,6773	69,95	289,5	56,85	12,65
