	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	2,319e+004	6,047e+004	211,7	589,5	48,51	49,39	313,9	126,8	10,91	67,03	115,9	119,9	10,91	285,7	81,60	0,5666	1,782e+005	9982	-6547	1,522e+004	-4923	11,71	87,43	259,4	49,56	1,404e+004	-9148	1,651	19,22
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	2,488e+004	6,460e+004	223,9	331,9	43,73	44,32	330,9	126,3	9,072	65,37	117,2	120,2	10,82	288,5	83,07	0,5367	7,263e+004	1,026e+004	-6486	4808	-5245	9,564	82,92	269,6	45,76	1,540e+004	-9479	1,616	18,39
4	1,976e+004	5,388e+004	186,8	253,9	42,46	43,08	249,4	122,0	9,988	62,88	112,0	117,5	9,988	288,5	80,37	0,6293	4,987e+004	9633	-5979	4295	-3283	10,27	83,77	232,4	44,11	1,026e+004	-9497	1,925	19,01
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	1,599e+004	4,509e+004	156,3	216,1	33,68	34,09	214,3	114,9	8,326	57,02	106,6	111,2	9,852	288,5	80,65	0,7114	3,843e+004	9564	-5589	3195	-3688	8,346	83,56	193,8	34,58	6259	-9730	2,555	18,76
7	1,642e+004	4,793e+004	166,1	211,3	31,35	31,88	198,3	112,4	8,675	55,47	103,8	109,5	9,250	288,5	81,33	0,6589	1,524e+005	9421	-5227	2476	-3775	8,928	78,58	204,3	32,75	6687	-9736	2,456	18,07
8	1,433e+004	4,266e+004	149,3	206,5	27,68	28,10	173,9	108,4	9,366	53,40	99,01	105,7	10,16	285,7	82,86	0,7081	3,641e+004	8853	-4734	3375	-4177	10,15	78,02	180,2	28,27	4548	-9778	3,150	21,82
9	1,573e+004	4,689e+004	161,8	207,5	22,24	24,40	207,2	106,1	7,909	52,21	98,16	102,1	10,12	289,9	86,98	0,6310	2,769e+004	9352	-4433	3447	-3904	8,032	79,14	186,0	24,27	5542	-1,019e+004	2,839	19,13
10	1,159e+004	3,711e+004	128,0	161,8	23,29	23,43	148,0	100,8	7,963	49,21	92,82	96,38	8,798	289,9	80,95	0,7527	1,077e+005	8346	-4153	2146	-3314	8,216	78,85	158,2	24,43	1764	-9826	6,569	19,03
11	1,039e+004	3,455e+004	119,8	146,2	13,02	13,07	123,6	99,20	9,345	48,42	89,85	93,64	9,345	288,5	84,57	0,7817	1,132e+005	8203	-3735	2762	-3614	10,21	76,58	141,7	15,34	980,6	-9408	10,59	20,58
12	1,226e+004	4,169e+004	143,8	149,3	0,06160	0,06160	147,2	95,60	7,635	45,65	87,97	87,20	10,43	289,9	98,53	0,6063	2,598e+004	7744	-3592	3299	-3166	7,874	70,52	146,0	0,3989	2527	-9730	4,850	19,71
13	1,090e+004	3,809e+004	130,8	133,2	0,03061	0,03118	122,8	94,21	7,047	44,70	87,17	76,37	8,408	291,3	98,67	0,5840	4,148e+004	7710	-3489	2992	-3076	7,266	69,98	132,5	0,03061	945,5	-9954	11,53	19,37
14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

