	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	6242	4,927e+004	138,0	237,3	99,35	168,6	152,0	122,8	0,6771	56,79	122,1	116,3	3,016	357,1	67,40	0,8434	3,204e+005	6429	-5567	3709	-2143	75,23	75,23	204,7	156,6	11,72
8	6086	5,003e+004	139,2	236,7	97,44	167,8	153,3	122,0	0,5677	56,56	121,4	116,2	3,132	359,3	70,25	0,8343	3,424e+005	6313	-5478	3520	-2160	76,18	69,94	198,2	155,8	11,88
9	5722	4,876e+004	136,5	234,6	98,08	165,6	147,8	121,4	0,5950	55,80	120,8	115,7	2,818	357,1	70,47	0,8478	3,376e+005	6285	-5540	3558	-2147	60,89	67,17	193,7	154,1	11,87
10	6045	4,846e+004	135,7	235,3	99,64	163,4	151,1	121,1	0,6839	55,85	120,4	115,6	2,934	357,1	68,32	0,8522	3,177e+005	6244	-5567	3226	-2103	91,48	73,23	198,6	153,6	11,69
11	6324	4,939e+004	138,3	235,2	96,91	162,4	151,1	121,0	0,4719	55,75	120,5	115,6	2,743	357,1	69,20	0,8360	3,132e+005	6292	-5485	3493	-2171	78,84	72,57	199,9	151,7	11,66
12	6423	4,894e+004	137,9	236,2	98,38	161,1	147,4	120,7	0,6087	55,38	120,1	115,5	2,763	355,0	69,70	0,8381	3,085e+005	6217	-5444	3889	-2576	35,58	64,93	197,8	150,6	11,76
13	6057	4,731e+004	132,5	230,5	98,02	159,5	147,8	120,6	0,5882	55,77	120,0	115,4	2,722	357,1	66,33	0,8708	2,790e+005	6279	-5519	3527	-2064	36,97	73,12	199,7	152,7	11,71
14	6252	4,586e+004	128,4	226,1	97,71	161,7	150,2	120,5	0,7045	55,70	119,8	115,4	2,606	357,1	63,88	0,8989	2,509e+005	6272	-5458	3290	-2139	40,28	70,53	201,0	152,2	11,83
15	6111	4,657e+004	130,4	226,1	95,73	161,2	151,8	120,2	0,5403	55,47	119,7	115,8	2,613	357,1	65,93	0,8881	2,838e+005	6292	-5526	3053	-2227	63,95	70,24	197,8	151,9	11,73
16	5821	4,576e+004	128,1	222,3	94,19	159,3	147,3	119,7	0,4719	55,11	119,3	115,3	2,531	357,1	66,57	0,9002	2,642e+005	6197	-5478	2795	-2187	33,86	68,98	192,5	149,5	11,69
