	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	3,201e+004	1,367e+005	378,2	556,6	178,4	183,0	450,8	119,4	-3,099	59,73	122,5	110,4	-3,099	361,4	81,80	0,2920	1,457e+006	9434	-7218	1,439e+004	-1,312e+004	101,3	78,35	462,3	179,4	11,87
2	3,206e+004	1,461e+005	399,4	564,9	165,5	180,0	455,6	121,6	1,108	62,88	120,5	115,2	4,392	365,9	91,00	0,2884	1,888e+006	9982	-7881	1,750e+004	-1,617e+004	106,4	82,50	438,8	165,5	11,62
3	3,138e+004	1,289e+005	352,3	536,8	184,5	200,3	453,3	119,0	-5,788	57,95	124,8	111,7	3,359	365,9	77,60	0,3171	1,429e+006	9934	-8196	1,273e+004	-1,658e+004	112,2	85,69	454,0	186,0	10,31
4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	3,134e+004	1,379e+005	379,1	543,8	164,7	174,5	434,5	121,8	-0,5678	62,34	122,3	113,8	4,290	363,6	86,76	0,3002	2,034e+006	1,003e+004	-7936	1,907e+004	-1,692e+004	106,6	82,76	436,9	164,8	11,57
7	3,109e+004	1,296e+005	352,1	539,7	187,6	214,3	462,9	117,9	-5,973	57,20	123,9	111,3	-0,05473	368,1	77,60	0,3162	1,632e+006	1,006e+004	-7915	1,557e+004	-1,364e+004	104,8	81,15	453,7	196,2	10,35
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	3,126e+004	1,267e+005	352,6	533,3	180,7	187,2	428,2	120,4	-1,608	60,29	122,0	113,4	-1,608	359,3	77,07	0,3216	1,106e+006	9503	-7464	1,060e+004	-1,352e+004	97,59	80,44	457,6	181,5	11,73
10	3,407e+004	1,343e+005	367,1	537,5	170,5	180,1	446,6	122,1	-0,3421	62,70	122,4	116,7	4,290	365,9	80,25	0,3178	1,327e+006	1,011e+004	-8312	1,232e+004	-1,441e+004	107,7	84,20	457,4	170,8	11,60
11	3,175e+004	1,249e+005	341,4	531,5	190,2	220,1	441,2	118,5	-5,952	57,02	124,4	114,3	-0,05473	365,9	73,64	0,3348	1,208e+006	1,006e+004	-8169	1,201e+004	-9767	100,6	83,07	463,6	202,8	10,47
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	3,169e+004	1,247e+005	344,9	523,1	178,2	188,9	450,3	119,3	-4,050	59,37	123,3	109,6	-4,050	361,4	74,21	0,3178	7,347e+005	9318	-7738	1,100e+004	-1,318e+004	3,044	73,63	464,8	178,2	11,78
14	3,029e+004	1,379e+005	379,3	547,1	167,8	178,1	438,6	121,9	1,184	62,96	120,7	115,4	4,399	363,6	87,64	0,3043	1,574e+006	1,004e+004	-7703	1,432e+004	-1,516e+004	108,3	86,91	432,8	168,1	11,60

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	3,169e+004	1,328e+005	364,6	541,4	176,8	190,7	446,2	120,2	-2,509	60,24	122,7	113,2	1,186	364,1	80,76	0,3110	1,439e+006	9847	-7853	1,395e+004	-1,425e+004	94,85	81,87	452,2	179,3	11,29
Min	3,029e+004	1,247e+005	341,4	523,1	164,7	174,5	428,2	117,9	-5,973	57,02	120,5	109,6	-4,050	359,3	73,64	0,2884	7,347e+005	9318	-8312	1,060e+004	-1,692e+004	3,044	73,63	432,8	164,8	10,31
Max	3,407e+004	1,461e+005	399,4	564,9	190,2	220,1	462,9	122,1	1,184	62,96	124,8	116,7	4,399	368,1	91,00	0,3348	2,034e+006	1,011e+004	-7218	1,907e+004	-9767	112,2	86,91	464,8	202,8	11,87
Count	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
