	SW (mmHg*猶)	CO (猶/min)	SV (無)	Vmax (無)	Vmin (無)	Ves (無)	Ved (無)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/無)	PowMax (mmHg*無/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (無/s)	dV/dt min (無/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (無)	V@dP/dt min (無)	Tau (ms)
1	9330	3,801e+004	122,3	1561	1439	1453	1554	100,9	16,71	61,02	84,16	99,63	18,12	310,9	7,834	0,8148	6,539e+004	5446	-3222	3623	-2058	16,84	71,12	1561	1441	28,34
2	9279	3,801e+004	121,6	1560	1438	1456	1556	101,1	16,85	60,44	84,24	99,25	19,42	312,5	7,814	0,8159	5,602e+004	5309	-3188	3261	-2015	17,18	68,55	1557	1439	29,00
3	1,103e+004	4,202e+004	135,2	1557	1422	1446	1552	102,8	15,63	60,77	87,15	100,4	18,75	310,9	8,692	0,7424	6,799e+004	5514	-3017	4335	-2438	15,68	69,24	1555	1423	27,81
4	8974	3,534e+004	114,3	1559	1444	1462	1553	100,1	15,43	59,10	84,63	98,36	17,90	309,3	7,341	0,8607	6,291e+004	5295	-2969	4037	-1987	15,58	67,47	1557	1445	27,59
5	9611	3,851e+004	123,9	1561	1438	1454	1558	101,8	17,50	61,88	84,26	100,7	18,76	310,9	7,935	0,8129	6,129e+004	5494	-3270	3423	-2133	17,90	69,21	1561	1438	28,86
6	1,006e+004	3,978e+004	126,6	1558	1431	1460	1553	101,8	15,95	60,36	85,89	99,38	20,07	314,1	8,147	0,7849	6,801e+004	5295	-3010	4258	-1907	15,97	72,61	1554	1434	27,76
7	1,012e+004	3,833e+004	123,9	1558	1435	1453	1555	101,9	15,40	60,22	86,53	99,96	18,14	309,3	7,960	0,8066	6,574e+004	5521	-2997	4221	-2222	15,54	70,86	1557	1435	27,78
8	8340	3,442e+004	110,7	1560	1450	1463	1553	99,69	16,54	59,89	83,15	98,14	18,06	310,9	7,095	0,8865	5,526e+004	5247	-3044	3331	-1963	16,59	67,39	1560	1452	28,11
9	9702	3,903e+004	125,5	1564	1438	1453	1561	102,3	16,93	61,64	85,41	100,8	19,50	310,9	8,048	0,8033	5,530e+004	5521	-3222	3166	-2122	17,32	71,59	1560	1439	29,13
10	1,012e+004	3,917e+004	125,3	1557	1432	1457	1553	101,4	15,45	59,72	85,96	98,89	18,72	312,5	8,053	0,7890	7,029e+004	5275	-2853	4548	-2228	15,45	69,40	1556	1434	27,86
11	9352	3,640e+004	117,7	1562	1444	1459	1556	101,2	15,66	60,39	85,52	99,66	18,02	309,3	7,539	0,8468	6,042e+004	5480	-3038	3787	-2017	15,91	70,71	1561	1445	27,76
12	8730	3,552e+004	114,2	1561	1446	1464	1555	100,5	17,26	60,60	83,26	99,15	18,66	310,9	7,322	0,8679	5,852e+004	5295	-3154	3328	-1993	17,54	70,05	1560	1447	28,83
13	1,062e+004	4,157e+004	132,3	1562	1429	1454	1559	102,9	16,02	61,56	86,89	100,6	20,04	314,1	8,497	0,7599	6,605e+004	5487	-3072	4122	-2079	16,02	70,08	1558	1434	28,00
14	9239	3,562e+004	115,2	1558	1443	1465	1553	100,5	15,18	58,74	85,30	98,46	17,90	309,3	7,396	0,8549	6,243e+004	5282	-2839	4107	-2277	15,20	71,64	1557	1443	27,66
15	8938	3,617e+004	116,4	1564	1448	1460	1559	100,6	16,60	60,91	83,99	99,44	17,97	310,9	7,440	0,8546	5,800e+004	5418	-3174	3477	-2001	16,68	71,15	1564	1450	28,34
16	8961	3,654e+004	116,9	1563	1446	1466	1560	100,9	16,70	60,37	84,22	99,21	19,33	312,5	7,493	0,8484	5,593e+004	5275	-3147	3253	-1990	17,02	68,91	1561	1446	28,90
17	1,062e+004	4,083e+004	131,3	1562	1431	1454	1557	102,4	15,52	60,58	86,90	100,1	18,62	310,9	8,427	0,7623	6,654e+004	5466	-2949	4272	-2147	15,58	69,62	1558	1432	28,20
18	8557	3,399e+004	109,3	1561	1452	1471	1557	99,73	15,55	59,16	84,18	98,06	17,80	310,9	7,006	0,8967	6,050e+004	5234	-2942	3865	-1978	15,65	67,63	1561	1452	27,73
19	9322	3,758e+004	120,9	1565	1444	1458	1560	101,5	17,34	61,67	84,13	100,4	18,59	310,9	7,731	0,8303	5,486e+004	5487	-3154	3097	-1985	17,64	69,97	1564	1445	28,91
20	9721	3,813e+004	122,0	1559	1437	1465	1557	101,4	15,77	59,85	85,65	98,93	19,72	312,5	7,834	0,8109	6,531e+004	5227	-3024	4127	-1955	15,82	73,45	1558	1441	27,81
21	9952	3,821e+004	122,9	1562	1439	1462	1556	101,5	15,08	60,01	86,37	99,56	17,99	310,9	7,877	0,8099	5,825e+004	5473	-2894	3824	-2209	15,20	66,42	1560	1439	27,63
22	8014	3,276e+004	105,9	1563	1457	1469	1557	99,00	16,32	59,13	82,68	97,57	17,60	309,3	6,782	0,9211	6,116e+004	5193	-3038	3730	-1888	16,40	70,32	1562	1459	28,01
23	9576	3,873e+004	123,9	1567	1443	1461	1564	101,7	16,74	61,39	84,97	100,2	19,35	312,5	7,921	0,8081	5,265e+004	5473	-3304	3061	-2039	17,02	68,48	1565	1443	29,11
24	9773	3,879e+004	124,1	1561	1437	1464	1557	100,7	15,15	59,14	85,59	98,25	18,42	312,5	7,975	0,7915	6,689e+004	5179	-2887	4408	-2072	15,17	72,01	1557	1440	27,75
25	9237	3,601e+004	117,0	1566	1449	1466	1561	100,5	15,39	59,61	85,10	98,77	17,53	307,7	7,474	0,8440	5,746e+004	5405	-3044	3673	-2090	15,56	65,50	1566	1450	27,89
26	8509	3,458e+004	111,2	1565	1454	1471	1560	99,77	17,05	60,05	82,72	98,42	18,32	310,9	7,117	0,8848	5,366e+004	5193	-3065	3099	-1996	17,32	67,91	1563	1454	28,84
27	1,038e+004	4,052e+004	129,0	1564	1435	1461	1561	102,1	15,76	60,92	86,30	99,69	19,72	314,1	8,259	0,7728	6,147e+004	5391	-2997	3900	-2017	15,76	67,95	1562	1439	27,83

	SW (mmHg*猶)	CO (猶/min)	SV (猶)	Vmax (猶)	Vmin (猶)	Ves (猶)	Ved (猶)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/猶)	PowMax (mmHg*猶/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (猶/s)	dV/dt min (猶/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (猶)	V@dP/dt min (猶)	Tau (ms)
Avg	9484	3,758e+004	120,7	1562	1441	1460	1557	101,1	16,13	60,34	85,00	99,33	18,63	311,2	7,741	0,8253	6,105e+004	5366	-3056	3753	-2067	16,28	69,60	1560	1442	28,20
Min	8014	3,276e+004	105,9	1557	1422	1446	1552	99,00	15,08	58,74	82,68	97,57	17,53	307,7	6,782	0,7424	5,265e+004	5179	-3304	3061	-2438	15,17	65,50	1554	1423	27,59
Max	1,103e+004	4,202e+004	135,2	1567	1457	1471	1564	102,9	17,50	61,88	87,15	100,8	20,07	314,1	8,692	0,9211	7,029e+004	5521	-2839	4548	-1888	17,90	73,45	1566	1459	29,13
Count	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27
