	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
1	3,334e+004	1,204e+005	301,0	529,0	228,0	239,2	405,0	127,1	2,380	70,50	124,7	121,9	7,585	400,0	57,31	0,4049	2,921e+005	1,192e+004	-9590	1,700e+004	-9508	5,171	98,36	525,3	228,2	9,470
2	4,744e+004	1,694e+005	420,6	645,6	224,9	239,3	476,3	126,0	1,819	69,23	124,2	120,6	5,410	402,7	65,28	0,2867	3,110e+005	1,211e+004	-9891	1,671e+004	-1,254e+004	5,410	93,82	644,4	225,7	9,061
3	4,986e+004	1,779e+005	447,7	648,0	200,3	222,1	484,8	125,3	3,899	68,15	121,4	119,7	5,007	397,4	69,13	0,2674	2,581e+005	1,197e+004	-9911	1,553e+004	-1,210e+004	5,007	91,47	647,7	207,6	9,494
4	3,418e+004	1,224e+005	306,0	506,8	200,8	212,9	412,0	126,9	4,015	70,88	122,9	121,7	7,743	400,0	60,69	0,3976	2,270e+005	1,202e+004	-9993	1,110e+004	-7364	6,778	90,35	504,2	201,7	9,740
5	3,375e+004	1,273e+005	316,2	544,3	228,0	240,9	415,3	125,8	2,503	70,03	123,3	121,8	7,517	402,7	59,41	0,3850	3,612e+005	1,185e+004	-9275	1,655e+004	-9583	5,390	92,59	532,3	228,8	9,432
6	4,486e+004	1,575e+005	396,4	612,6	216,2	231,8	455,1	124,7	1,648	67,37	123,0	119,4	5,609	397,4	64,77	0,3011	2,164e+005	1,199e+004	-1,009e+004	1,632e+004	-1,081e+004	5,609	98,55	612,1	217,7	8,820
7	4,463e+004	1,596e+005	399,1	613,1	214,0	230,7	505,9	123,2	3,297	67,04	119,9	119,0	5,410	400,0	65,13	0,2982	1,642e+005	1,189e+004	-9767	1,383e+004	-1,139e+004	5,410	95,65	612,8	216,7	9,134
8	3,448e+004	1,279e+005	317,7	515,5	197,8	211,7	405,7	125,2	3,885	69,66	121,3	119,6	7,524	402,7	62,18	0,3766	3,256e+005	1,207e+004	-9925	1,077e+004	-8988	7,168	95,33	510,9	198,7	9,488
9	3,330e+004	1,241e+005	312,2	538,4	226,1	240,1	420,0	124,3	2,120	68,07	122,2	119,6	7,339	397,4	59,07	0,3829	3,179e+005	1,172e+004	-9330	1,649e+004	-9605	4,979	97,56	528,6	226,4	9,240
10	4,739e+004	1,726e+005	431,4	651,3	219,9	235,3	483,0	123,7	1,710	67,10	122,0	117,7	5,739	400,0	66,50	0,2729	3,853e+005	1,200e+004	-9658	1,598e+004	-1,289e+004	5,739	89,35	648,7	222,7	8,799
11	4,225e+004	1,477e+005	371,8	564,4	192,6	206,4	498,8	124,1	4,015	67,26	120,0	118,1	5,759	397,4	66,38	0,3178	7,741e+004	1,193e+004	-9945	1,262e+004	-9935	5,759	96,14	560,1	195,1	9,456
12	2,992e+004	1,113e+005	276,4	491,6	215,3	225,4	405,0	124,7	2,531	69,67	122,1	120,8	8,406	402,7	57,06	0,4371	3,123e+005	1,200e+004	-9364	1,534e+004	-6600	5,869	94,04	484,3	215,3	9,247
13	4,239e+004	1,556e+005	391,7	618,9	227,2	242,0	445,5	123,5	1,614	66,83	121,9	118,2	6,129	397,4	63,65	0,3019	3,717e+005	1,184e+004	-9637	1,663e+004	-1,378e+004	4,432	94,15	615,4	228,6	8,906
14	4,765e+004	1,731e+005	432,7	649,0	216,3	234,0	531,3	122,7	2,859	66,77	119,8	117,3	5,616	400,0	66,69	0,2710	2,561e+005	1,198e+004	-1,010e+004	1,370e+004	-1,209e+004	5,616	94,93	648,8	218,7	8,945
15	3,378e+004	1,287e+005	319,6	506,7	187,1	205,9	398,3	124,0	3,912	68,23	120,1	118,7	7,483	402,7	64,23	0,3716	3,799e+005	1,194e+004	-1,012e+004	1,127e+004	-8392	6,785	91,22	497,5	190,6	9,372
16	3,494e+004	1,279e+005	319,7	527,7	208,0	221,7	430,4	124,4	3,311	68,78	121,0	118,4	7,661	400,0	60,93	0,3705	2,452e+005	1,192e+004	-9761	1,287e+004	-9282	6,252	94,50	524,7	208,4	9,522
17	3,865e+004	1,415e+005	353,8	565,3	211,5	222,7	432,8	123,1	2,627	66,71	120,5	117,4	6,525	400,0	62,75	0,3318	2,634e+005	1,168e+004	-9740	1,377e+004	-9801	5,082	87,13	563,7	211,8	9,195
18	3,978e+004	1,441e+005	360,3	559,4	199,1	215,6	450,1	122,6	1,642	65,16	120,9	116,6	6,012	400,0	64,47	0,3235	2,197e+005	1,194e+004	-1,025e+004	1,317e+004	-1,044e+004	4,706	90,53	558,8	201,3	8,623
19	3,814e+004	1,368e+005	341,9	539,2	197,4	207,4	457,5	121,3	2,305	63,89	118,9	114,2	5,438	400,0	63,40	0,3341	9,887e+004	1,176e+004	-9836	1,166e+004	-8279	5,369	87,54	539,2	197,9	8,687
20	3,763e+004	1,357e+005	339,3	521,3	182,0	198,0	435,6	122,2	3,098	65,19	119,1	114,8	6,224	400,0	65,14	0,3384	1,290e+005	1,182e+004	-1,004e+004	1,107e+004	-8769	5,841	86,18	520,9	185,8	9,032
21	3,687e+004	1,352e+005	338,0	541,3	203,3	214,6	440,3	121,5	1,902	64,70	119,6	114,2	6,286	400,0	62,61	0,3378	1,911e+005	1,169e+004	-9644	1,382e+004	-8555	4,754	86,72	539,8	203,9	8,784
22	4,146e+004	1,512e+005	378,0	576,1	198,1	214,1	465,6	121,4	1,717	64,12	119,7	115,2	5,417	400,0	65,93	0,3049	2,133e+005	1,181e+004	-1,034e+004	1,369e+004	-1,143e+004	4,378	86,46	573,4	200,4	8,586
23	4,090e+004	1,467e+005	369,2	566,4	197,2	212,6	467,0	121,0	2,189	63,38	118,8	115,0	5,137	397,4	65,19	0,3114	1,304e+005	1,179e+004	-1,039e+004	1,245e+004	-1,066e+004	5,137	92,25	566,4	198,9	8,698

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	Tau (ms)
Avg	3,946e+004	1,432e+005	358,3	566,6	208,3	222,8	448,8	123,8	2,652	67,34	121,2	118,3	6,390	399,9	63,39	0,3359	2,499e+005	1,190e+004	-9852	1,402e+004	-1,012e+004	5,506	92,38	563,5	210,0	9,119
Min	2,992e+004	1,113e+005	276,4	491,6	182,0	198,0	398,3	121,0	1,614	63,38	118,8	114,2	5,007	397,4	57,06	0,2674	7,741e+004	1,168e+004	-1,039e+004	1,077e+004	-1,378e+004	4,378	86,18	484,3	185,8	8,586
Max	4,986e+004	1,779e+005	447,7	651,3	228,0	242,0	531,3	127,1	4,015	70,88	124,7	121,9	8,406	402,7	69,13	0,4371	3,853e+005	1,211e+004	-9275	1,700e+004	-6600	7,168	98,55	648,8	228,8	9,740
Count	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23
