	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	6,268e+004	2,122e+005	558,7	821,8	263,1	265,3	727,0	132,3	-0,4446	60,10	132,8	123,8	1,081	379,7	71,67	0,2215	1,010e+006	1,300e+004	-1,084e+004	1,453e+004	-2,240e+004	0,9029	89,37	779,7	268,2	8,430e+004	2,162e+004	0,7435	9,069
3	5,598e+004	1,923e+005	506,5	738,3	231,8	236,0	737,5	130,0	-0,8208	57,02	130,9	119,2	1,601	379,7	74,50	0,2354	3,117e+005	1,276e+004	-1,058e+004	1,211e+004	-1,746e+004	0,1573	87,53	679,8	234,6	7,321e+004	1,723e+004	0,7647	9,197
4	4,967e+004	1,707e+005	446,8	651,8	205,0	206,8	648,6	127,2	-1,259	54,41	128,4	113,9	1,238	382,2	71,88	0,2549	6,708e+005	1,250e+004	-9412	1,171e+004	-1,704e+004	-0,3420	87,86	621,6	209,9	6,351e+004	1,384e+004	0,7821	9,199
5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	4,356e+004	1,727e+005	452,0	605,7	153,7	155,9	586,4	119,4	-1,758	47,85	121,1	104,2	0,3283	382,2	80,78	0,2304	9,832e+005	1,157e+004	-8769	1,015e+004	-1,666e+004	-1,005	88,10	559,5	164,0	5,270e+004	9139	0,8266	9,291
7	4,141e+004	1,676e+005	438,6	580,9	142,3	144,1	570,9	114,9	-4,453	43,70	119,3	98,29	-0,1778	382,2	82,83	0,2241	8,016e+005	1,084e+004	-8591	8684	-1,529e+004	-4,384	78,95	529,5	151,6	4,840e+004	6993	0,8555	8,937
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
