	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	3,971e+004	1,064e+005	294,3	457,0	162,6	168,7	441,5	147,9	-1,587	69,88	149,5	145,1	1,279	361,4	64,46	0,4931	9,588e+004	1,524e+004	-9823	6111	-6770	0,4446	100,5	456,7	163,0	5,716e+004	1,745e+004	0,6947	9,059
3	3,728e+004	1,019e+005	281,8	438,7	156,9	161,9	415,4	145,7	-1,908	67,65	147,7	143,3	0,9371	361,4	64,64	0,5087	1,091e+005	1,504e+004	-1,010e+004	5589	-6915	0,02052	94,60	436,0	157,6	5,419e+004	1,691e+004	0,6879	9,047
4	3,689e+004	1,038e+005	287,1	439,0	151,9	156,5	400,8	142,6	-2,483	64,89	145,1	140,8	0,5199	361,4	66,27	0,4904	2,219e+005	1,502e+004	-1,009e+004	5557	-7986	-1,149	94,01	433,2	152,4	5,288e+004	1,599e+004	0,6976	8,811
5	3,605e+004	1,006e+005	278,3	423,9	145,6	148,6	393,2	139,4	-2,900	62,38	142,3	137,4	-0,2189	361,4	65,86	0,4935	9,728e+004	1,495e+004	-9590	5656	-7347	-1,259	93,09	422,6	146,3	5,150e+004	1,545e+004	0,6999	8,911
6	3,510e+004	9,836e+004	272,1	411,9	139,8	143,2	398,0	135,5	-3,311	59,62	138,8	132,5	-0,4993	361,4	66,92	0,4871	7,229e+004	1,484e+004	-9303	5461	-7176	-2,045	95,97	406,6	140,2	4,924e+004	1,415e+004	0,7127	8,921
7	3,569e+004	9,962e+004	277,3	410,8	133,6	138,2	395,2	131,6	-3,687	56,72	135,3	129,3	-0,8893	359,3	68,25	0,4664	3,676e+004	1,452e+004	-9323	6129	-7458	-2,634	97,66	406,2	133,7	4,862e+004	1,292e+004	0,7342	8,752
8	3,482e+004	9,776e+004	272,1	397,3	125,2	131,6	391,2	129,1	-4,179	54,00	133,3	123,7	-1,074	359,3	68,53	0,4545	2,830e+004	1,422e+004	-8934	6146	-7765	-3,030	88,47	397,1	125,5	4,642e+004	1,159e+004	0,7503	8,760
9	3,567e+004	1,018e+005	284,9	401,5	116,6	124,4	392,1	126,7	-4,364	51,38	131,0	117,7	-1,286	357,1	71,03	0,4131	3,344e+004	1,378e+004	-8489	6275	-7914	-3,167	83,86	401,1	117,1	4,615e+004	1,047e+004	0,7730	8,786
10	3,625e+004	1,069e+005	299,3	404,4	105,1	113,7	397,6	124,1	-4,754	49,00	128,8	112,9	-1,573	357,1	75,23	0,3772	2,418e+004	1,353e+004	-7990	5707	-7853	-3,632	92,69	397,8	105,7	4,562e+004	9366	0,7947	8,918
11	3,689e+004	1,110e+005	310,8	404,9	94,13	104,3	391,9	121,3	-4,952	46,74	126,3	108,6	-2,079	357,1	78,19	0,3496	1,447e+004	1,320e+004	-7538	5165	-8955	-4,063	86,19	397,4	94,80	4,516e+004	8269	0,8169	9,025
12	3,604e+004	1,099e+005	306,0	395,9	89,89	99,67	382,9	118,7	-5,212	44,82	123,9	104,9	-2,093	359,3	77,80	0,3428	7943	1,259e+004	-7087	5191	-8950	-3,865	87,86	393,3	90,96	4,366e+004	7614	0,8256	8,935
