	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	2,104e+004	6,234e+004	168,3	283,7	115,4	125,0	254,7	145,5	11,85	81,67	133,6	140,8	14,25	370,4	59,88	0,8365	8,551e+004	1,040e+004	-1,097e+004	6575	-3721	12,67	109,4	281,1	119,3	3,134e+004	1,030e+004	0,6713	15,40
4	2,229e+004	6,984e+004	187,4	305,0	117,6	130,1	283,4	147,1	11,43	83,22	135,7	141,1	14,62	372,7	66,31	0,7529	6,717e+004	1,058e+004	-9531	5263	-3692	12,31	113,7	282,6	121,9	3,301e+004	1,073e+004	0,6751	15,66
5	2,193e+004	6,712e+004	180,1	291,2	111,1	120,6	271,3	145,8	10,95	81,67	134,8	140,9	14,30	372,7	65,50	0,7826	5,592e+004	1,041e+004	-1,008e+004	4863	-3827	11,50	114,7	275,0	114,0	3,163e+004	9695	0,6935	15,58
6	2,101e+004	6,502e+004	173,4	275,3	101,9	109,9	263,3	143,6	10,45	79,20	133,2	139,0	13,98	375,0	67,01	0,8019	4,776e+004	1,022e+004	-1,050e+004	4389	-3765	10,80	115,1	258,8	104,3	2,934e+004	8333	0,7160	15,24
7	2,017e+004	6,595e+004	175,9	268,8	92,87	98,53	258,4	140,8	9,319	74,54	131,5	136,4	13,47	375,0	72,04	0,7754	4,121e+004	9825	-1,125e+004	3760	-3697	10,96	105,9	244,1	93,87	2,714e+004	6970	0,7431	14,98
8	1,764e+004	6,083e+004	162,2	245,7	83,51	84,87	240,4	136,3	7,364	69,51	128,9	131,9	12,57	375,0	74,51	0,8133	2,927e+004	9271	-1,233e+004	2961	-3845	9,887	103,7	217,7	83,67	2,324e+004	5597	0,7591	14,72
9	1,376e+004	4,990e+004	131,4	208,6	77,20	78,55	203,5	129,4	5,969	64,01	123,4	125,0	10,96	379,7	69,86	0,9514	2,092e+004	8423	-1,200e+004	2240	-3586	7,746	104,9	188,1	77,43	1,855e+004	4784	0,7421	15,09
10	1,022e+004	3,595e+004	97,07	170,1	73,03	75,55	159,8	121,4	6,030	57,50	115,4	117,1	8,553	370,4	59,51	1,206	3,343e+004	7432	-1,020e+004	1943	-3406	8,553	95,56	163,1	73,26	1,450e+004	4282	0,7047	16,11

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	1,851e+004	5,962e+004	159,5	256,1	96,58	102,9	241,9	138,7	9,169	73,92	129,6	134,0	12,84	373,9	66,83	0,8650	4,765e+004	9569	-1,086e+004	3999	-3692	10,55	107,9	238,8	98,47	2,609e+004	7586	0,7131	15,35
Min	1,022e+004	3,595e+004	97,07	170,1	73,03	75,55	159,8	121,4	5,969	57,50	115,4	117,1	8,553	370,4	59,51	0,7529	2,092e+004	7432	-1,233e+004	1943	-3845	7,746	95,56	163,1	73,26	1,450e+004	4282	0,6713	14,72
Max	2,229e+004	6,984e+004	187,4	305,0	117,6	130,1	283,4	147,1	11,85	83,22	135,7	141,1	14,62	379,7	74,51	1,206	8,551e+004	1,058e+004	-9531	6575	-3406	12,67	115,1	282,6	121,9	3,301e+004	1,073e+004	0,7591	16,11
Count	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
