	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	2,308e+004	9,907e+004	511,9	696,4	184,6	187,8	678,8	57,49	1,573	23,39	55,92	55,47	4,973	193,5	82,91	0,1084	4,164e+004	2415	-1922	5791	-7973	1,628	34,27	617,4	189,1	2,675e+004	3677	0,8626	23,79
2	2,522e+004	1,013e+005	528,4	730,2	201,7	204,6	701,4	56,38	1,204	22,27	55,17	54,16	3,503	191,7	76,41	0,1025	5,990e+004	2360	-1977	4959	-9453	1,245	33,45	691,5	209,9	2,995e+004	4732	0,8420	23,45
3	2,356e+004	9,537e+004	497,5	695,9	198,4	202,1	623,5	54,37	0,7936	20,77	53,58	52,22	3,037	191,7	74,73	0,1050	4,285e+004	2244	-1854	5350	-1,034e+004	6,595	35,45	665,7	202,7	2,773e+004	4171	0,8496	23,09
4	1,996e+004	8,548e+004	440,2	611,3	171,1	173,3	537,1	51,55	0,5062	19,33	51,05	48,99	2,545	194,2	75,99	0,1113	3,797e+004	2045	-1669	5127	-1,124e+004	6,985	33,21	579,3	172,4	2,239e+004	2434	0,8913	23,06
5	1,521e+004	3,551e+004	351,0	504,3	153,3	155,8	458,4	48,18	0,1231	9,692	48,06	44,86	2,039	101,2	72,01	0,1278	1,951e+004	1799	-1553	3222	-8599	4,638	31,69	487,4	154,5	1,675e+004	1532	0,9085	23,21
6	1,563e+004	7,478e+004	403,8	529,3	125,5	135,5	457,0	44,02	0,06157	17,31	43,95	42,02	2,538	185,2	77,41	0,1041	3,279e+004	1532	-1184	5176	-1,112e+004	4,973	22,86	521,6	133,9	1,636e+004	725,7	0,9556	26,08
7	9164	5,465e+004	286,9	421,1	134,1	151,9	372,9	40,69	-0,1437	14,01	40,83	37,39	1,300	190,5	79,81	0,1303	1,453e+004	1293	-1225	3162	-5637	4,570	27,13	359,5	140,8	1,019e+004	1025	0,8994	23,17
8	8562	5,340e+004	282,1	405,0	122,8	145,4	366,0	39,81	-0,2668	13,52	40,07	36,52	1,177	189,3	79,45	0,1295	1,341e+004	1361	-1177	3056	-6045	3,058	21,91	355,1	134,5	9232	670,0	0,9274	23,20
9	7211	4,815e+004	258,4	375,5	117,1	149,0	346,0	37,82	-0,4036	12,41	38,23	34,53	0,9167	186,3	79,52	0,1336	1,047e+004	1252	-1115	2315	-5471	2,647	20,58	325,0	131,0	7733	521,2	0,9326	22,98
10	6449	4,453e+004	244,2	357,3	113,2	148,7	345,0	36,56	-0,4652	11,71	37,02	33,40	0,9235	182,4	79,91	0,1368	1,011e+004	1211	-1088	2303	-4579	3,195	18,57	305,6	125,7	6797	348,2	0,9488	23,00
11	5854	4,176e+004	229,0	337,9	108,9	144,9	329,7	35,41	-0,5336	11,28	35,94	31,55	0,9167	182,4	77,31	0,1378	9077	1184	-1006	2057	-3895	2,073	17,83	296,2	125,1	6126	271,8	0,9556	22,74
12	5233	3,732e+004	206,5	313,2	106,7	143,3	301,7	34,28	-0,6157	10,76	34,90	31,01	0,8209	180,7	75,81	0,1502	8620	1156	-978,3	2000	-3734	-0,3421	18,05	272,4	122,4	5393	159,7	0,9704	22,73
13	4391	3,259e+004	182,0	287,3	105,3	140,5	280,4	33,32	-0,6089	10,36	33,93	29,82	0,6567	179,1	72,39	0,1639	3,308e+004	1095	-957,8	2427	-3386	0,8278	16,40	251,4	121,2	4516	124,8	0,9724	22,79
14	4074	3,059e+004	173,3	279,3	105,9	143,2	268,2	32,60	-0,6431	9,976	33,25	29,61	0,6704	176,5	74,39	0,1708	3,026e+004	1081	-896,2	2209	-3457	-0,3010	18,22	233,0	119,7	4190	116,8	0,9721	22,81

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	1,240e+004	5,961e+004	328,2	467,4	139,2	159,0	433,3	43,04	0,04154	14,77	42,99	40,11	1,858	180,3	77,00	0,1294	2,602e+004	1573	-1329	3511	-6780	2,985	24,97	425,8	148,8	1,386e+004	1465	0,9206	23,29
Min	4074	3,059e+004	173,3	279,3	105,3	135,5	268,2	32,60	-0,6431	9,692	33,25	29,61	0,6567	101,2	72,01	0,1025	8620	1081	-1977	2000	-1,124e+004	-0,3421	16,40	233,0	119,7	4190	116,8	0,8420	22,73
Max	2,522e+004	1,013e+005	528,4	730,2	201,7	204,6	701,4	57,49	1,573	23,39	55,92	55,47	4,973	194,2	82,91	0,1708	5,990e+004	2415	-896,2	5791	-3386	6,985	35,45	691,5	209,9	2,995e+004	4732	0,9724	26,08
Count	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14
