	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
1	6,619e+004	2,110e+005	639,9	785,1	134,9	152,4	627,8	115,9	2,634	64,76	113,3	111,5	7,409	329,7	82,28	0,1743	1,786e+005	8394	-4953	1,853e+004	-1,869e+004	4,556	72,55	777,7	143,1	7,829e+004	1,210e+004	0,8454	14,99
2	6,420e+004	2,159e+005	618,9	747,1	123,7	138,1	659,7	116,9	3,140	68,63	113,8	112,1	7,970	348,8	83,17	0,1811	1,104e+005	8709	-5110	1,650e+004	-1,674e+004	4,399	71,41	744,2	130,3	7,528e+004	1,108e+004	0,8528	15,00
3	4,765e+004	1,523e+005	464,5	591,5	114,2	125,7	445,0	114,1	3,886	62,42	110,2	110,0	4,604	327,9	79,58	0,2367	2,291e+005	8600	-5063	1,369e+004	-1,166e+004	4,604	76,23	583,7	118,9	5,780e+004	1,015e+004	0,8244	15,07
4	4,265e+004	1,354e+005	415,1	516,8	98,75	109,6	426,0	112,1	3,003	60,23	109,1	106,8	6,609	326,1	80,51	0,2574	8,050e+004	8757	-5227	1,314e+004	-1,056e+004	4,796	73,10	515,5	103,6	5,104e+004	8390	0,8356	14,64
5	4,042e+004	1,334e+005	402,3	513,2	98,78	108,9	451,9	105,7	0,3831	55,53	105,3	99,30	5,541	331,5	79,94	0,2468	1,875e+005	8387	-5110	1,234e+004	-1,067e+004	1,628	69,47	503,2	102,3	4,799e+004	7572	0,8422	13,41
6	3,987e+004	1,318e+005	397,6	495,8	87,57	99,22	457,3	103,9	-1,122	53,33	105,0	98,30	3,503	331,5	81,80	0,2472	1,748e+005	8675	-5261	1,032e+004	-1,125e+004	0,2737	67,57	486,1	91,71	4,594e+004	6074	0,8678	12,65
7	3,308e+004	1,120e+005	336,0	420,8	82,20	93,17	405,5	99,84	-3,215	48,78	103,1	91,87	1,806	333,3	80,22	0,2735	5,399e+004	8374	-5295	7993	-9191	-1,792	65,29	418,8	85,44	3,807e+004	4996	0,8688	11,71
8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	2,513e+004	8,887e+004	268,1	337,8	60,30	73,41	320,6	97,09	-1,163	45,66	98,26	85,64	1,464	331,5	81,07	0,3194	1,512e+004	8107	-5117	6634	-7095	0,1847	61,78	330,7	66,94	2,909e+004	3963	0,8638	11,65
10	2,526e+004	9,019e+004	272,1	333,1	48,01	63,18	320,7	95,77	-1,382	44,38	97,15	83,11	0,9920	331,5	84,19	0,3055	1,214e+004	8210	-4919	5787	-6705	-1,245	57,17	323,2	55,80	2,815e+004	2891	0,8973	11,61
11	2,278e+004	8,252e+004	247,6	316,0	44,79	62,94	302,2	92,25	-3,571	40,83	95,82	79,17	0,5336	333,3	83,76	0,3198	9520	7635	-4679	5592	-5341	-3,523	59,59	295,6	54,53	2,501e+004	2233	0,9107	10,79
12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 

	SW (mmHg*킠)	CO (킠/min)	SV (킠)	Vmax (킠)	Vmin (킠)	Ves (킠)	Ved (킠)	Pmax (mmHg)	Pmin (mmHg)	Pmean (mmHg)	Pdev (mmHg)	Pes (mmHg)	Ped (mmHg)	HR (bpm)	EF (%)	Ea (mmHg/킠)	PowMax (mmHg*킠/s)	dP/dt max (mmHg/s)	dP/dt min (mmHg/s)	dV/dt max (킠/s)	dV/dt min (킠/s)	P@dV/dt max (mmHg)	P@dP/dt max (mmHg)	V@dP/dt max (킠)	V@dP/dt min (킠)	PVA (mmHg*킠)	PE (mmHg*킠)	CE	Tau (ms)
Avg	4,072e+004	1,353e+005	406,2	505,7	89,31	102,7	441,7	105,4	0,2593	54,46	105,1	97,78	4,043	332,5	81,65	0,2562	1,052e+005	8385	-5074	1,105e+004	-1,079e+004	1,388	67,42	497,9	95,26	4,767e+004	6945	0,8609	13,15
Min	2,278e+004	8,252e+004	247,6	316,0	44,79	62,94	302,2	92,25	-3,571	40,83	95,82	79,17	0,5336	326,1	79,58	0,1743	9520	7635	-5295	5592	-1,869e+004	-3,523	57,17	295,6	54,53	2,501e+004	2233	0,8244	10,79
Max	6,619e+004	2,159e+005	639,9	785,1	134,9	152,4	659,7	116,9	3,886	68,63	113,8	112,1	7,970	348,8	84,19	0,3198	2,291e+005	8757	-4679	1,853e+004	-5341	4,796	76,23	777,7	143,1	7,829e+004	1,210e+004	0,9107	15,07
Count	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
